make,model,vehicle_class,engine_size_l_,cylinders,transmission,fuel_type,fuel_consumption_city_l_100_km_,fuel_consumption_hwy_l_100_km_,fuel_consumption_comb_l_100_km_,fuel_consumption_comb_mpg_,co2_emissions_g_km_
ACURA,ILX,COMPACT,2.0,4,AS5,Z,9.9,6.7,8.5,33,196
ACURA,ILX,COMPACT,2.4,4,M6,Z,11.2,7.7,9.6,29,221
ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6.0,5.8,5.9,48,136
ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,12.7,9.1,11.1,25,255
ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.1,8.7,10.6,27,244
ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,11.9,7.7,10.0,28,230
ACURA,TL,MID-SIZE,3.5,6,AS6,Z,11.8,8.1,10.1,28,232
ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,12.8,9.0,11.1,25,255
ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,13.4,9.5,11.6,24,267
ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.6,7.5,9.2,31,212
